E2B2 SizeLegacy
E46A IntermittentCloudsDay
E46B HazyDay
E46C Showers
E46D MostyCloudyShowersDay
E46E PartlySunnyShowersDay
E46F MostyCloudyTStormsDay
E470 PartlySunnyTStormsDay
E471 MostyCloudyFlurriesDay
E472 PartlySunnyFlurriesDay
E473 Ice
E474 Sleet
E475 FreezingRain
E476 MostyClearNight
E477 PartlyClearNight
E478 IntermittentCloudsNight
E479 HazyNight
E47A PartlySunnyShowersNight
E47B MostyCloudyTStormsNight
E47C PartlySunnyTStormsNight
E47D MostyCloudyFlurriesNight
E480 Sharepoint2013LogoInverse
E481 OutlookSpacesBucket
E483 CaretSolidAlt
E484 PowerVirtualAgentsLogo
E48A FluidLogo
E48B FormProcessing
E48C CategoryClassification
E48D PhishingCampaign
E48E PhishingHook
E48F SecurityTest
E490 OfficeCatchUp
E491 DynamicList
E495 GroupRemove
E496 ReceiptProcessing
E497 InboxActive
E498 RingerActive
E49A PopExpand
E49C FlowTemplate
E4AA TextDocumentSettings
E4AC PowerAppsTemplate
E4AD TemporaryAccessPass
E4AE ChoiceColumn
E4B8 CtrlButton
E4B9 DensityDefault
E4BA DensityComfy
E4BB ODLink
E4BC ODLink12
E4BD TableColumn
E4BE CalculatedTable
E4BF ColumnSigma
E4C0 ColumnQuestion
E4C1 ColumnQuestionMirrored
E4C2 ColumnFunction
E4C3 PhotoBlock
E4C4 EditTable
E4C6 AddTable
E4C7 AddField
E4C8 CloudEdit
E4C9 CloudLink
E4CA ExternalUser
E4CB OrderLock
E4CC MetricsUsage
E4CD MetricsInstall
E4CE MetricsFailure
E4CF CommunicationDetails
E4D0 CommunicationDetailsMirrored
E4D1 Variable3
E4D2 SettingsSecure
E4D3 LightningSecure
E4D4 MailSecure
E4D5 CloudSecure
E4D6 IoTSecure
E4DC TestAdd
E4DD WebAppBuilderFragmentLock
E4DE WebAppBuilderFragmentTest
E4DF WebAppBuilderModuleLock
E4E0 WebAppBuilderModuleTest
E4E1 TestRemove
E4E2 SamsungGallery
E4E9 PBIDirectQuery
E4EA PBIDual
E4EB PBIImport
E4EC PBILiveConnect
E4ED UserWindow
E4EE ObjectRecognition
E4EF ClipboardListAdd
E4F0 ClipboardListQuestion
E4F1 ClipboardListReply
E4F2 SurveyQuestionResponse
E4F3 DesktopFlow
E4F4 CCSolid
E4F5 DataEnrichment
E4F6 NetworkDeviceScanning
E4F7 D365CustomerVoiceApp
E4F9 DiamondUser
E4FA FabricChannelFolder
E4FB ContentUnderstandingApp
E4FC KnowledgeManagementApp
E4FD TaskAdd
E545 UnavailableOffline
E546 SavedOffline
E547 ZeroDayCalendar
E548 PBIAnomaly
E549 CareActivity
E54A CarePlan
E54B ClinicalImpression
E54C Encounter
E54D MedicalCare
E54E MedicationAdmin
E54F MedicationRequest
E550 VaccinationRecent
E551 XRay
E553 BulkPageBlock
E554 PBIAnomaliesMarker
E556 Pronouns
E557 ExpressRouteCircuits
E558 ErrorBadge12
E559 Completed12
E55A Info12
E55B ChevronUpEnd
E55C PowerStandby
E562 BusinessRule
E577 DataFlow
E5B2 ItalicC
E5B3 BoldG
E5B4 UnderlineS
E5B5 BoldF
E5B6 ItalicK
E5B7 BoldN
E5B8 UnderlineRussian
E5B9 BoldRussion
E5BA FontStyleKorean
E5BB UnderlineKorean
E5BC ItalicKorean
E5BD BoldKorean
E5BE FontColorKorean
E5C0 ProductWarning
E5C1 SimplifiedView
E5C3 Oauth
E5C5 BoldBulgarian
E5C6 BoldK
E5C7 BoldP
E5C8 BoldT
E5C9 BoldKazakh
E5CA BoldSerbian
E5CB UnderlineSerbian
E5CC UnderlineA
E5CD UnderlineP
E5CE ItalicD
E5CF ItalicS
E5D0 ItalicT
E5D1 ItalicL
E5D2 ItalicKazakh
E5D3 InsertTextBoxKorean
E5D4 StrikethroughKorean
E5D5 PreviewBelow
E5D6 PreviewSideBySide
E5D8 LearningApp
E5E4 ProcessAdvisor
E5E5 PinToTab
E5EA CloudFlow
E5EC PBIReportTemplate
E5ED UpperCase
E5EE LowerCase
E5EF PeopleExternalShare
E5F0 BorderNone
E5F1 BorderInsideVertical
E5F2 BorderInsideHorizontal
E5F3 BorderInside
E5F4 BorderAll
E5FA Bill
E5FB BusinessCard
E5FC PortalAppTemplate32
E5FD ModelAppTemplate32
E5FE CanvasAppTemplate32
E5FF TriggerPhrase
E600 ChatSettings
E601 MSListsConnected
E60B PAAction
E60C FlowTrigger
E60D LibraryAddTo
E60E Factory
E614 ReportTrophy
E615 PBIGoalEntry
E616 PBIGoalEntryAdd
E617 DatabaseBlock
E618 PagePermission
E619 TablePermission
E61A SQLServerLogo
E61B EditListPencil
E61E CarePlanTemplate
E62D RecordRouting
E62E QueueAdvanced
E62F CopyPath
E632 CharticulatorArrangePolar
E633 CharticulatorArrangePolarAngles
E634 CharticulatorBand
E635 CharticulatorGuideCoordinator
E636 CharticulatorGuideX
E637 CharticulatorGuideY
E638 CharticulatorLegend
E639 CharticulatorLine
E63A CharticulatorLineStyleDashed
E63B CharticulatorLineStyleDotted
E63C CharticulatorLinkingData
E63D CharticulatorLinkingSequence
E63E CharticulatorOrderColumn
E63F CharticulatorOrderRow
E640 CharticulatorPlotCartesian
E641 CharticulatorPlotCurve
E642 CharticulatorPolarCoordinates
E643 CharticulatorSpiral
E644 CharticulatorStackRadial
E645 CharticulatorStackY
E649 ODSharedChannel
E64A ODSharedChannel12
E657 AppIconSecure
E658 PBIPerspective
E659 Dataverse
E65B PBIHomeLayoutDefault
E65C PBIHomeLayoutExpanded
E664 BullseyeTargetAdd
E665 ZeroDayPatch
E666 UserClapper
E667 StreamingDataset
E668 StreamingDataflow
E669 StreamPlaylist
E66C CellSplitVertical
E670 DatabaseActivity
E671 DatabaseSwap
E678 BooleanData
E67A PBIColumn
E67B PBIConnectPoints
E67C PBIGap
E67D PBIZero
E67E FavoriteBlock
E67F DatabaseRefresh
E680 ConfirmEvent
E681 LightbulbSolid
E682 PinNavMenu
E683 PinOff
E687 VivaTopicApp
E688 Bidirectional
E68A DataFilter
E68B BarChart3Zero
E68C BarChart3One
E68D BarChart3Two
E68E StepBackward
E68F StepOver
E690 StepInto
E691 StepOut
E692 BreakpointsRemove
E693 ZoomToFitAlt
E694 PinOffSolid
E69B DatamartExternal
E700 GlobalNavButton
E704 InternetSharing
E706 Brightness
E707 MapPin
E709 Airplane
E70A Tablet
E70B QuickNote
E70D ChevronDown
E70E ChevronUp
E70F Edit
E710 Add
E711 Cancel
E712 More
E713 Settings
E714 Video
E715 Mail
E716 People
E717 Phone
E718 Pin
E719 Shop
E71A Stop
E71B Link
E71C Filter
E71D AllApps
E71E Zoom
E71F ZoomOut
E720 Microphone
E721 Search
E722 Camera
E723 Attach
E724 Send
E728 FavoriteList
E729 PageSolid
E72A Forward
E72B Back
E72C Refresh
E72D Share
E72E Lock
E72F BlockedSite
E730 ReportHacked
E731 EMI
E732 MiniLink
E733 Blocked
E734 FavoriteStar
E735 FavoriteStarFill
E736 ReadingMode
E737 Favicon
E738 Remove
E739 Checkbox
E73A CheckboxComposite
E73B CheckboxFill
E73C CheckboxIndeterminate
E73D CheckboxCompositeReversed
E73E CheckMark
E73F BackToWindow
E740 FullScreen
E748 SwitchUser
E749 Print
E74A Up
E74B Down
E74C OEM
E74D Delete
E74E Save
E751 ReturnKey
E753 Cloud
E754 Flashlight
E756 CommandPrompt
E757 Sad
E758 RealEstate
E759 SIPMove
E75C EraseTool
E75E GripperTool
E75F Dialpad
E760 PageLeft
E761 PageRight
E762 MultiSelect
E765 KeyboardClassic
E768 Play
E769 Pause
E76B ChevronLeft
E76C ChevronRight
E76D InkingTool
E76E Emoji2
E76F GripperBarHorizontal
E770 System
E771 Personalize
E773 SearchAndApps
E774 Globe
E776 EaseOfAccess
E777 UpdateRestore
E779 ContactInfo
E77A Unpin
E77B Contact
E77C Memo
E77E IncomingCall
E77F Paste
E782 WindowsLogo
E783 Error
E784 GripperBarVertical
E785 Unlock
E786 Slideshow
E787 Calendar
E789 Megaphone
E78A Trim
E78D AutoEnhanceOn
E78E AutoEnhanceOff
E790 Color
E792 SaveAs
E793 Light
E795 Filters
E799 AspectRatio
E7A1 Contrast
E7A6 Redo
E7A7 Undo
E7A8 Crop
E7AA PhotoCollection
E7AB Album
E7AC OpenWith
E7AD Rotate
E7B0 PanoIndicator
E7B2 Translate
E7B3 RedEye
E7B4 ViewOriginal
E7B6 ThumbnailView
E7B8 Package
E7B9 Telemarketer
E7BA Warning
E7BB Financial
E7BE Education
E7BF ShoppingCart
E7C0 Train
E7C1 Flag
E7C2 Move
E7C3 Page
E7C9 TouchPointer
E7D5 Merge
E7DB TurnRight
E7E3 Ferry
E7E6 Highlight
E7E8 PowerButton
E7E9 Tab
E7EF Admin
E7F0 CC
E7F1 SDCard
E7F4 TVMonitor
E7F5 Speakers
E7FC Game
E7FD HorizontalTabKey
E7FE UnstackSelected
E7FF StackIndicator
E800 Nav2DMapView
E802 StreetsideSplitMinimize
E804 Car
E806 Bus
E807 EatDrink
E808 SeeDo
E80E LocationCircle
E80F Home
E810 SwitcherStartEnd
E811 ParkingLocation
E814 IncidentTriangle
E815 Touch
E816 MapDirections
E817 CaretHollow
E818 CaretSolid
E81C History
E81D Location
E81E MapLayers
E820 SearchNearby
E821 Work
E823 Recent
E824 Hotel
E825 Bank
E827 LocationDot
E82D Dictionary
E830 ChromeBack
E831 CortanaLogoOuter
E832 CortanaLogoInner
E835 ProvisioningPackage
E838 FolderOpen
E83D DefenderApp
E840 Pinned
E842 PinnedFill
E845 RevToggleKey
E88E USB
E890 View
E892 Previous
E893 Next
E894 Clear
E895 Sync
E896 Download
E897 Help
E898 Upload
E899 Emoji
E89C MailForward
E89F ClosePane
E8A0 OpenPane
E8A1 PreviewLink
E8A3 ZoomIn
E8A4 Bookmarks
E8A5 Document
E8A6 ProtectedDocument
E8A7 OpenInNewWindow
E8A8 MailFill
E8A9 ViewAll
E8AB Switch
E8AC Rename
E8AD Go
E8AF Remote
E8B3 SelectAll
E8B4 Orientation
E8B5 Import
E8B7 Folder
E8B9 Picture
E8BB ChromeClose
E8BC ShowResults
E8BD Message
E8BF CalendarDay
E8C0 CalendarWeek
E8C2 MailReplyAll
E8C3 Read
E8C6 Cut
E8C7 PaymentCard
E8C8 Copy
E8C9 Important
E8CA MailReply
E8CB Sort
E8D0 Priority
E8D1 GotoToday
E8D2 Font
E8D3 FontColor
E8D5 FolderFill
E8D7 Permissions
E8D8 DisableUpdates
E8D9 Unfavorite
E8DB Italic
E8DC Underline
E8DD Bold
E8DE MoveToFolder
E8E0 Dislike
E8E1 Like
E8E2 AlignRight
E8E3 AlignCenter
E8E4 AlignLeft
E8E5 OpenFile
E8E6 ClearSelection
E8E7 FontDecrease
E8E8 FontIncrease
E8E9 FontSize
E8EA CellPhone
E8EC Tag
E8ED RepeatOne
E8EE RepeatAll
E8EF Calculator
E8F1 Library
E8F3 PostUpdate
E8F4 NewFolder
E8F5 CalendarReply
E8F6 UnsyncFolder
E8F7 SyncFolder
E8F8 BlockContact
E8FA AddFriend
E8FB Accept
E8FD BulletedList
E8FF Preview
E900 News
E901 Chat
E902 Group
E909 World
E90A Comment
E90C DockLeft
E90D DockRight
E90F Repair
E910 Accounts
E913 Street
E915 RadioBullet
E916 Stopwatch
E917 Clock
E918 WorldClock
E919 AlarmClock
E91B Photo
E91C ActionCenter
E91D Hospital
E91E Timer
E91F FullCircleMask
E920 LocationFill
E921 ChromeMinimize
E923 ChromeRestore
E924 Annotation
E928 Fingerprint
E929 Handwriting
E92D ChromeFullScreen
E930 Completed
E932 Label
E935 FlickDown
E936 FlickUp
E937 FlickLeft
E938 FlickRight
E93A MiniExpand
E93B MiniContract
E93E Streaming
E93F PlaylistMusic
E940 MusicInCollection
E941 OneDriveLogo
E942 CompassNW
E943 Code
E945 LightningBolt
E946 Info
E947 CalculatorMultiply
E948 CalculatorAddition
E949 CalculatorSubtract
E94C CalculatorPercentage
E94E CalculatorEqualTo
E956 PrintfaxPrinterFile
E958 StorageOptical
E95A Communications
E95B Headset
E95C FlashAuto
E95E Health
E960 Webcam2
E96B FrontCamera
E96D ChevronUpSmall
E96E ChevronDownSmall
E96F ChevronLeftSmall
E970 ChevronRightSmall
E971 ChevronUpMed
E972 ChevronDownMed
E973 ChevronLeftMed
E974 ChevronRightMed
E975 Devices2
E977 PC1
E979 PresenceChickletVideo
E97A Reply
E97E HalfAlpha
E98F ConstructionCone
E991 DoubleChevronLeftMed
E992 Volume0
E993 Volume1
E994 Volume2
E995 Volume3
E999 Chart
E99A Robot
E99C Manufacturing
E9A2 LockSolid
E9A6 FitPage
E9A7 FitWidth
E9AA BidiLtr
E9AB BidiRtl
E9B1 RightDoubleQuote
E9BD Sunny
E9BE CloudWeather
E9BF Cloudy
E9C0 PartlyCloudyDay
E9C1 PartlyCloudyNight
E9C2 ClearNight
E9C3 RainShowersDay
E9C4 Rain
E9C5 AddMultiple
E9C6 Thunderstorms
E9C7 RainSnow
E9C8 Snow
E9C9 BlowingSnow
E9CA Frigid
E9CB Fog
E9CC Squalls
E9CD Duststorm
E9CE Unknown
E9CF Precipitation
E9D0 SortLines
E9D1 Ribbon
E9D2 AreaChart
E9D3 Assign
E9D4 FlowChart
E9D5 CheckList
E9D9 Diagnostic
E9DA Generate
E9DC Invoice
E9DE ProjectManagement
E9DF Total
E9E6 LineChart
E9E9 Equalizer
E9EB BarChartHorizontal
E9EC BarChartVertical
E9EE Count
E9EF Freezing
E9F1 FunnelChart
E9F3 Process
E9F5 Processing
E9F6 ProcessMap
E9F8 Quantity
E9F9 ReportDocument
E9FC StackColumnChart
E9FD SnowShowerDay
E9FE SummaryChart
EA00 HailDay
EA01 WorkFlow
EA02 LightSnow
EA03 HourGlass
EA04 StoreLogoMed20
EA05 TimeSheet
EA08 TriangleSolid
EA0B UpgradeAnalysis
EA0C VideoSolid
EA0F RainShowersNight
EA11 SnowShowerNight
EA12 Teamwork
EA13 HailNight
EA15 PeopleAdd
EA16 Glasses
EA17 DateTime2
EA18 Shield
EA19 Header1
EA1A PageAdd
EA1C NumberedList
EA1E PowerBILogo
EA1F Info2
EA36 MusicInCollectionFill
EA37 List
EA38 Asterisk
EA39 ErrorBadge
EA3A CircleRing
EA3B CircleFill
EA3F Record2
EA40 AllAppsMirrored
EA41 BookmarksMirrored
EA42 BulletedListMirrored
EA45 CaretHollowMirrored
EA46 CaretSolidMirrored
EA47 ChromeBackMirrored
EA48 ClearSelectionMirrored
EA49 ClosePaneMirrored
EA4A ContactInfoMirrored
EA4C DockLeftMirrored
EA4D DoubleChevronLeftMedMirrored
EA4F GoMirrored
EA51 HelpMirrored
EA52 ImportMirrored
EA53 ImportAllMirrored
EA55 ListMirrored
EA56 MailForwardMirrored
EA57 MailReplyMirrored
EA58 MailReplyAllMirrored
EA59 MiniContractMirrored
EA5A MiniExpandMirrored
EA5B OpenPaneMirrored
EA5C OpenWithMirrored
EA5E ParkingLocationMirrored
EA63 SendMirrored
EA65 ShowResultsMirrored
EA67 ThumbnailViewMirrored
EA69 Media
EA6A SyncError
EA6C Devices3
EA6E FlashOff
EA6F Focus
EA74 VideoLightOff
EA80 Lightbulb
EA82 StatusTriangle
EA85 VolumeDisabled
EA86 Puzzle
EA87 EmojiNeutral
EA88 EmojiDisappointed
EA8A HomeSolid
EA8F Ringer
EA90 PDF
EA92 HeartBroken
EA96 StoreLogo16
EA98 MultiSelectMirrored
EA99 Broom
EA9A AddToShoppingList
EA9D Cocktails
EABF Wines
EAC1 Articles
EAC7 Cycling
EAC8 DietPlanNotebook
EACB Pill
EACC ExerciseTracker
EAD0 HandsFree
EAD4 Medical
EADA Running
EADB Weights
EADF Trackers
EAE0 Vaccination
EAE3 AddNotes
EAE4 AllCurrency
EAE6 BarChart3
EAE7 BarChart4
EAED CircleDollar
EAEE CirclePlus
EAEF Coffee
EAF3 Cotton
EAF5 Currency
EAFC Market
EAFD Money
EB04 PieDouble
EB05 PieSingle
EB07 Rate
EB08 RemoveFilter
EB0B Savings
EB0C Sell
EB0F StockDown
EB11 StockUp
EB15 MSNVolume
EB19 Lamp
EB1B Source
EB1C MSNVideos
EB1E Cricket
EB1F Golf
EB20 Baseball
EB21 Soccer
EB22 MoreSports
EB24 AutoRacing
EB25 CollegeHoops
EB26 CollegeFootball
EB27 ProFootball
EB28 ProHockey
EB2D Rugby
EB31 SubstitutionsIn
EB33 Tennis
EB34 Arrivals
EB35 SecurityCamera
EB3C Design
EB41 Website
EB42 Drop
EB43 HistoricalWeather
EB45 SkiResorts
EB46 Snowflake
EB47 BusSolid
EB48 FerrySolid
EB4B EndPointSolid
EB4C AirplaneSolid
EB4D TrainSolid
EB51 Heart
EB52 HeartFill
EB54 Ticket
EB63 WifiWarning4
EB66 Devices4
EB68 NUIFace
EB6A AzureIcon
EB6B BingLogo
EB6C MSNLogo
EB6D OutlookLogoInverse
EB6E OfficeLogo
EB6F SkypeLogo
EB75 Door
EB7E EditMirrored
EB8E GiftCard
EB8F DoubleBookmark
EB90 StatusErrorFull
EB95 Certificate
EB9D FastForward
EB9E Rewind
EB9F Photo2
EBC2 OpenSource
EBCD Movers
EBD3 CloudDownload
EBDA Family
EBE6 WindDirection
EBE8 Bug
EBEC SiteScan
EBED BrowserScreenShot
EBEE F12DevTools
EBEF CSS
EBF0 JS
EBF1 Transportation
EBF4 DeliveryTruck
EBF7 ReminderPerson
EBF8 ReminderGroup
EBF9 ReminderTime
EBFC TabletMode
EC04 Umbrella
EC05 NetworkTower
EC06 CityNext
EC07 CityNext2
EC0C Section
EC0D OneNoteLogoInverse
EC11 ToggleFilled
EC12 ToggleBorder
EC13 SliderThumb
EC14 ToggleThumb
EC17 Documentation
EC1B Badge
EC1F Giftbox
EC22 VisualStudioForWindowsAlt
EC26 HomeGroup
EC27 MyNetwork
EC28 ExcelLogoInverse
EC29 WordLogoInverse
EC2A PowerPointLogoInverse
EC32 Cafe
EC4A SpeedHigh
EC4D Commitments
EC4E ThisPC
EC4F MusicNote
EC54 MicOff
EC57 PlaybackRate1x
EC60 EdgeOldLogo
EC61 CompletedSolid
EC62 AlbumRemove
EC70 MessageFill
EC74 TabletSelected
EC75 MobileSelected
EC76 LaptopSelected
EC77 TVMonitorSelected
EC7A DeveloperTools
EC7C Shapes
EC7D InsertTextBox
EC8A LowerBrightness
EC8B WebComponents
EC8C OfflineStorage
EC8D DOM
EC8E CloudUpload
EC8F ScrollUpDown
EC92 DateTime
EC9C CloudNotSynced
ECA1 AddMedium
ECA3 Event
ECA4 Cake
ECA5 Tiles
ECA6 Org
ECA7 PartyLeader
ECA8 DRM
ECA9 CloudAdd
ECAA AppIconDefault
ECAB Photo2Add
ECAC Photo2Remove
ECAD Calories
ECAE Distance
ECAF POI
ECC7 RemoveContent
ECC8 AddTo
ECC9 RemoveFrom
ECCA RadioBtnOff
ECCB RadioBtnOn
ECCD ExploreContent
ECCE Embed
ECD6 CreditCardBill
ECDC Product
ECDE ProgressLoopInner
ECDF ProgressLoopOuter
ECE2 Hot
ECE4 Blocked2
ECEB FangBody
ECED Toolbox
ECEE PageHeader
ECF4 Glimmer
ECFE ChatInviteFriend
ECFF Brush
ED00 Shirt
ED01 Crown
ED02 Diamond
ED09 ScaleUp
ED10 ResetDevice
ED14 QRCode
ED15 Feedback
ED18 SharepointLogoInverse
ED19 YammerLogo
ED1A Hide
ED1D Uneditable
ED22 Clipboard
ED24 ReturnToSession
ED25 OpenFolderHorizontal
ED28 CalendarMirrored
ED29 SwayLogoInverse
ED34 OutOfOffice
ED3C SkipBack10
ED3D SkipForward30
ED3F Trophy
ED4E RewardsLogo
ED4F RewardsLogoSolid
ED50 ReopenPages
ED58 EmojiTabSymbols
ED68 AADLogo
ED69 AccessLogo
ED6A AdminALogoInverse32
ED6B AdminCLogoInverse32
ED6C AdminDLogoInverse32
ED6D AdminELogoInverse32
ED6E AdminLLogoInverse32
ED6F AdminMLogoInverse32
ED70 AdminOLogoInverse32
ED71 AdminPLogoInverse32
ED72 AdminSLogoInverse32
ED73 AdminYLogoInverse32
ED76 DelveLogoInverse
ED78 ExchangeLogoInverse
ED79 LyncLogo
ED7A OfficeVideoLogoInverse
ED7C SocialListeningLogo
ED7D VisioLogoInverse
ED7E Balloons
ED7F Cat
ED80 MailAlert
ED81 MailCheck
ED82 MailLowImportance
ED83 MailPause
ED84 MailRepeat
ED85 SecurityGroup
ED86 Table
ED87 VoicemailForward
ED88 VoicemailReply
ED89 Waffle
ED8A RemoveEvent
ED8B EventInfo
ED8C ForwardEvent
ED8D WipePhone
ED8E AddOnlineMeeting
ED8F JoinOnlineMeeting
ED90 RemoveLink
ED91 PeopleBlock
ED92 PeopleRepeat
ED93 PeopleAlert
ED94 PeoplePause
ED95 TransferCall
ED96 AddPhone
ED97 UnknownCall
ED98 NoteReply
ED99 NoteForward
ED9A NotePinned
ED9B RemoveOccurrence
ED9C Timeline
ED9D EditNote
ED9E CircleHalfFull
ED9F Room
EDA0 Unsubscribe
EDA1 Subscribe
EDA2 HardDrive
EDA6 CloudPrinter
EDB2 RecurringTask
EDB7 TaskManager
EDB8 TaskManagerMirrored
EDBB Combine
EDBC Split
EDBD DoubleChevronUp
EDBE DoubleChevronLeft
EDBF DoubleChevronRight
EDC0 Ascending
EDC1 Descending
EDC2 TextBox
EDC3 TextField
EDC4 NumberField
EDC5 Dropdown
EDC6 PenWorkspace
EDC7 BookingsLogo
EDC8 ClassNotebookLogoInverse
EDCA DelveAnalyticsLogo
EDCB DocsLogoInverse
EDCC Dynamics365Logo
EDCD DynamicSMBLogo
EDCE OfficeAssistantLogo
EDCF OfficeStoreLogo
EDD0 OneNoteEduLogoInverse
EDD1 PlannerLogo
EDD2 PowerApps
EDD3 Suitcase
EDD4 ProjectLogoInverse
EDD5 CaretLeft8
EDD6 CaretRight8
EDD7 CaretUp8
EDD8 CaretDown8
EDD9 CaretLeftSolid8
EDDA CaretRightSolid8
EDDB CaretUpSolid8
EDDC CaretDownSolid8
EDDD ClearFormatting
EDDE Superscript
EDDF Subscript
EDE0 Strikethrough
EDE1 Export
EDE2 ExportMirrored
EDE4 CloudSearch
EDF6 ProgressRing5
EDFF SingleBookmark
EE00 SingleBookmarkSolid
EE04 DoubleChevronDown
EE05 FollowUser
EE0A ReplyAll
EE0F WorkforceManagement
EE12 RecruitmentManagement
EE19 Questionnaire
EE23 ManagerSelfService
EE24 EmployeeSelfService
EE29 ProductionFloorManagement
EE2E ProductRelease
EE30 ProductVariant
EE35 ReplyMirrored
EE36 ReplyAllMirrored
EE38 Medal
EE3D AddGroup
EE4B QuestionnaireMirrored
EE54 AppsContent
EE55 CloudImportExport
EE58 TemporaryUser
EE62 CaretSolid16
EE66 GroupedDescending
EE67 GroupedAscending
EE68 SortUp
EE69 SortDown
EE6A AwayStatus
EE6C MyMoviesTV
EE6E SyncToPC
EE6F GenericScan
EE70 AustralianRules
EE77 WifiEthernet
EE92 TrackersMirrored
EE93 DateTimeMirrored
EE95 StopSolid
EE96 DoubleChevronUp12
EE97 DoubleChevronDown12
EE98 DoubleChevronLeft12
EE99 DoubleChevronRight12
EE9A CalendarAgenda
EE9D ConnectVirtualMachine
EEB5 AddEvent
EEB6 AssetLibrary
EEB7 DataConnectionLibrary
EEB8 DocLibrary
EEB9 FormLibrary
EEBA FormLibraryMirrored
EEBB ReportLibrary
EEBC ReportLibraryMirrored
EEBD ContactCard
EEBE CustomList
EEBF CustomListMirrored
EEC0 IssueTracking
EEC1 IssueTrackingMirrored
EEC2 PictureLibrary
EEC7 OfficeAddinsLogo
EEC8 OfflineOneDriveParachute
EEC9 OfflineOneDriveParachuteDisabled
EECB LargeGrid
EECC TriangleSolidUp12
EECD TriangleSolidDown12
EECE TriangleSolidLeft12
EECF TriangleSolidRight12
EED0 TriangleUp12
EED1 TriangleDown12
EED2 TriangleLeft12
EED3 TriangleRight12
EED4 ArrowUpRight8
EED5 ArrowDownRight8
EED6 DocumentSet
EEED GoToDashboard
EEEE DelveAnalytics
EEEF ArrowUpRightMirrored8
EEF0 ArrowDownRightMirrored8
EEF2 RewardsLogoArt64
EEF5 SearchArt64
